Institution,Service,URL,Present,Notes
University of Iowa,Data_visualization_software_instruction,https://www.lib.uiowa.edu/news-and-events/event/?id=53141,N,This was a one time course offering but I am sure they offer similar courses continually so I think this works
"University of Maryland, College Park",Data_visualization_software_instruction,https://www.lib.umd.edu/binaries/content/assets/public/gis/data-viz-workbook---final-july-20189.13.18.pdf,Y,Good PDF How To
"University of Maryland, College Park",Data_visualization_software_instruction,https://www.lib.umd.edu/rc/data-science,Y,
"University of Minnesota, Twin Cities",Data_visualization_software_instruction,https://libguides.umn.edu/datavis,N,
University of North Carolina at Chapel Hill,Data_visualization_software_instruction,https://guides.lib.unc.edu/DataViz/reading,N,
University of North Carolina at Chapel Hill,Data_visualization_software_instruction,https://guides.lib.unc.edu/lorinbruckner,Y,*Repost from above section
University of Oregon,Data_visualization_software_instruction,https://library.uoregon.edu/psc-visualization-lab,N,
University of Oregon,Data_visualization_software_instruction,https://researchguides.uoregon.edu/library_workshops/r,Y,
University of Southern California,Data_visualization_software_instruction,https://libraries.usc.edu/events/usc-libraries-data-and-visualization-workshops-0,Y,
University of Texas at Austin,Data_visualization_software_instruction,https://guides.lib.utexas.edu/c.php?g=494171&p=5550738,Y,
University of Texas at Austin,Data_visualization_software_instruction,https://www.lib.utexas.edu/events/312,Y,
University of Utah,Data_visualization_software_instruction,https://campusguides.lib.utah.edu/c.php?g=160571&p=1050556,N,
University of Washington,Data_visualization_software_instruction,https://guides.lib.uw.edu/hsl/data/analyze#s-lg-box-1908365,N,
"University of Wisconsin, Madison",Data_visualization_software_instruction,https://researchguides.library.wisc.edu/R/why,Y,
Washington State University,Data_visualization_software_instruction,https://libguides.libraries.wsu.edu/dataviz/programming,N,
Arizona State University,Data_visualization_software_web,https://lib.asu.edu/librarychannel/Get-involved-data-science,N,
Michigan State University,Data_visualization_software_web,http://digitalscholarshiplab.msu.edu/using-the-lab/lab-technology/,Y,But site only links to other sites for viz web software
Michigan State University,Data_visualization_software_web,http://libguides.lib.msu.edu/c.php?g=966965&p=7019951,Y,
Ohio State University,Data_visualization_software_web,http://guides.osu.edu/DH/viz,Y,Has links to viz software at bottom of page but these redirect to other pages
Ohio State University,Data_visualization_software_web,https://library.osu.edu/researchcommons/help/visualizing-data,N,
Oregon State University,Data_visualization_software_web,https://guides.library.oregonstate.edu/data,Y,
Pennsylvania State University,Data_visualization_software_web,https://guides.libraries.psu.edu/data-analytics-visualization,Y,
Pennsylvania State University,Data_visualization_software_web,https://libraries.psu.edu/about/departments/research-informatics-and-publishing/advanced-analytics-and-visualization-digital,N,Link just talks about Penn States Lab that you can use and what software they have available
Stanford University,Data_visualization_software_web,https://library.stanford.edu/events/basics-data-visualization,N,Link was for a past workshop
Texas A&M University,Data_visualization_software_web,https://library.tamu.edu/libraryInstruction/the-studio.html,N,
University of Arizona,Data_visualization_software_web,https://libguides.library.arizona.edu/dighumantools/dataviz,Y,
"University of California, Berkeley",Data_visualization_software_web,https://guides.lib.berkeley.edu/data-visualization/about,Y,
